,w_knn,w_rf,w_svm,w_xgboost,f1
62,0.13679716232172123,0.653985454958004,0.5197608726317304,0.4634678377974968,0.5335789882805257
229,0.17836051519219753,0.6407052941028295,0.5802806520843441,0.43189690646466294,0.5335789882805257
339,0.1161526606245541,0.8697841449716285,0.8401761281687169,0.6420457539331879,0.5335789882805257
242,0.17963348898872922,0.5274321093229363,0.8954135575102165,0.7295042357027132,0.5333806208597154
270,0.6214440662885037,0.49359624787194645,0.8530637977769071,0.4035757203217909,0.5326221205265186
29,0.42842586672048955,0.5199298280455548,0.6243946110572771,0.41640385380717226,0.5326221205265186
169,0.7707765698241683,0.5598962944515501,0.9808871701904496,0.6440525308000675,0.5326221205265186
100,0.47597813529470856,0.614743194229562,0.8026362521171494,0.4647076836988636,0.5326221205265186
239,0.8198456664187183,0.5710817434404825,0.9060851440906692,0.5951594022068567,0.5326221205265186
311,0.7727933284942345,0.49520054201911556,0.9635824438250201,0.5657702709417651,0.5326221205265186
223,0.5478823685919525,0.5727511745045758,0.8185942424940882,0.6687888867523494,0.5326221205265186
11,0.47360781134728314,0.7186519352584434,0.8020634768142283,0.10976619817560773,0.5321927415136715
473,0.26042940948391136,0.7100914082303283,0.8258087892010726,0.1172341298722096,0.5321927415136715
177,0.2672593541844692,0.6108888546783379,0.6635508389028884,0.12434255571355013,0.5321927415136715
465,0.321597988707906,0.9116586336036911,0.939016770664377,0.19453630326607807,0.5321927415136715
488,0.6674542410944762,0.8369892980937859,0.8737921038625648,0.1486971085379336,0.5321927415136715
118,0.18521414712657336,0.7865943208505694,0.3890357182280426,0.7154891337109021,0.5321450599573002
168,0.1002886287974506,0.616861653029613,0.44833911722261754,0.5683764356718469,0.5321450599573002
438,0.17009284418750537,0.9663240161095611,0.4376755071001234,0.8432548560866429,0.5321450599573002
439,0.19821728694652185,0.8391659224426696,0.5939008272284851,0.8284574360017408,0.5321450599573002
185,0.29865220299779005,0.31536575306137404,0.8448696129490666,0.6958876076775222,0.5313308819207316
327,0.39035296371278794,0.4131563133608872,0.8643210518236537,0.7064613323817851,0.5313308819207316
280,0.22140856198649383,0.3581365091013733,0.859933855103271,0.6800227201760143,0.5313308819207316
308,0.3749166892692235,0.2790922720475194,0.6765860080626747,0.5735902460206197,0.5313308819207316
370,0.4128429606857583,0.6760593312594387,0.5625579471114408,0.6562169611535361,0.5309123625909855
343,0.3791039753684259,0.8077860582727265,0.6144657923663724,0.7408839052198716,0.5309123625909855
155,0.4729254212726699,0.877571068615247,0.5589945880793702,0.8632156411342969,0.5309123625909855
344,0.43049837825432125,0.6574864317761994,0.6417316148679055,0.5511684246005142,0.5309123625909855
166,0.35264422781133253,0.9126111597019546,0.582562217434775,0.755635537288753,0.5309123625909855
110,0.26937333190979673,0.8913715447516561,0.6562662705552504,0.7730281256667536,0.5309123625909855
18,0.2635261439220551,0.8300805762625659,0.5784993232869018,0.6045240737373466,0.5309123625909855
26,0.16106368406016613,0.6566152020818431,0.6031873548650774,0.6451437085334777,0.5309123625909855
483,0.6054765497779675,0.9952424812679799,0.7159120326282035,0.9856764366879557,0.5309123625909855
10,0.2486407412957381,0.7914897330585993,0.6073191460948518,0.6392644138367254,0.5309123625909855
