,param_C,param_kernel,param_gamma,param_degree,param_class_weight,param_probability,param_shrinking,param_tol,mean_test_score,std_test_score,rank_test_score
134,3.3471431440955897,rbf,auto,9,balanced,True,True,0.1923601770252913,-1.1383390813514167,0.04245194509109325,71
204,3.0365906459873324,rbf,auto,8,balanced,True,False,0.04822330662348087,-1.1383398457963654,0.04036956378914911,72
118,3.073367041671933,rbf,auto,1,balanced,True,True,0.1632408353472006,-1.1383786845132093,0.039688374196877235,73
88,2.793591844264493,rbf,auto,7,balanced,True,False,0.16302267893583616,-1.138381401101294,0.04241820197973068,74
228,3.2072300956444444,rbf,auto,14,balanced,True,False,0.01845803591793509,-1.1383817657777957,0.04463615506929538,75
122,3.118253884337893,rbf,auto,7,balanced,True,True,0.13214452707614843,-1.1383833214125967,0.04169230141361231,76
192,3.0796499344717385,rbf,auto,11,balanced,True,True,0.10845268334281402,-1.1383924773455014,0.04137875260333681,77
201,3.187784717096083,rbf,auto,8,balanced,True,False,0.03239553654323875,-1.1384091719244487,0.04086881751719656,78
216,3.107555222293573,rbf,auto,11,balanced,True,False,0.10064953956978805,-1.138416143822906,0.0405248171071486,79
21,2.7809345096873805,rbf,auto,12,balanced,True,True,0.02918484499495253,-1.138419204628853,0.042210373499992876,80
247,3.1277080530714176,rbf,auto,8,balanced,True,False,0.028854414532677453,-1.1384288019494393,0.04260357836831612,81
154,3.4632225394406113,rbf,auto,12,balanced,True,True,0.19497576534152783,-1.1384307961673792,0.04077727104349169,82
181,3.3163857352130623,rbf,auto,12,balanced,True,True,0.018681644673129317,-1.138440644391495,0.04166445072533672,83
43,2.7221078104707304,rbf,auto,3,balanced,True,False,0.06852303428072559,-1.1384462397904513,0.04078829356966621,84
184,3.305044667519362,rbf,auto,7,balanced,True,False,0.12445274241945842,-1.1384474864286753,0.041031070336498165,85
206,2.5623413625112414,rbf,auto,11,balanced,True,False,0.027623385717495653,-1.1384631837965755,0.04154840350582761,86
39,3.383280258918868,rbf,auto,10,balanced,True,True,0.18021825998469865,-1.1384689013112395,0.041554456328548046,87
220,2.5556534893569753,rbf,auto,9,balanced,True,True,0.011327095574902569,-1.1384814263365737,0.04144387367176287,88
2,2.5580836121681996,rbf,auto,8,balanced,True,True,0.12122300234864176,-1.1384919163497607,0.039708460989800076,89
57,2.8486659872917293,rbf,auto,7,balanced,True,False,0.1891046528979208,-1.1384957094740376,0.04183709161336654,90
146,2.736685193682079,rbf,auto,7,balanced,True,True,0.11937774776425687,-1.13849674112002,0.0420826234371377,91
219,3.350817517836146,rbf,auto,14,balanced,True,False,0.1621729773482287,-1.1385009675094295,0.042062947694016285,92
182,3.291817839469633,rbf,auto,1,balanced,True,False,0.09700919340369503,-1.138513205391045,0.04089159825401548,93
6,2.9319450186421157,rbf,auto,1,balanced,True,True,0.1233705789444759,-1.1385148998794896,0.04139511999607562,94
18,3.227271995856421,rbf,auto,8,balanced,True,False,0.040196572483829046,-1.1385156165053192,0.04199783600048451,95
221,2.518242481428361,rbf,auto,5,balanced,True,False,0.20045110695367888,-1.138528547487632,0.042510291399463884,96
27,2.830898024852649,rbf,auto,7,balanced,True,True,0.13476825053272146,-1.1385409766936112,0.04233645120838874,97
202,2.8772859652420726,rbf,auto,1,balanced,True,False,0.17466022140711737,-1.138557530734473,0.042283875244042736,98
55,3.1958128067908818,rbf,auto,3,balanced,True,False,0.06619178104037696,-1.1385675973605323,0.041115631238297486,99
60,3.041447973827566,rbf,auto,10,balanced,True,True,0.04671000435945993,-1.138575200162367,0.04128640361023191,100
121,2.714589119708374,rbf,auto,14,balanced,True,False,0.008792626462046725,-1.138579216755154,0.04242818457624085,101
51,2.7420552715115005,rbf,auto,4,balanced,True,True,0.15332392306574352,-1.1385995402037803,0.04018617856829027,102
243,2.9626797856696063,rbf,auto,6,balanced,True,True,0.15052187603525022,-1.1386111456348993,0.04260066911791601,103
14,2.673364653507772,rbf,auto,1,balanced,True,False,0.03744721755761247,-1.1386183156034455,0.042570025399590504,104
64,3.2003578299727713,rbf,auto,3,balanced,True,False,0.17841728485302347,-1.1386235637117346,0.0409690045209184,105
225,3.0350367320449108,rbf,auto,10,balanced,True,True,0.16871651174052496,-1.1386250189405471,0.04256857992798101,106
89,3.367072318580104,rbf,auto,13,balanced,True,False,0.10326847977218756,-1.138633883953767,0.04252332227143815,107
232,3.3098744458546348,rbf,auto,1,balanced,True,True,0.13730054444478587,-1.1386373421218932,0.04157483384147471,108
128,3.2316477552996403,rbf,auto,4,balanced,True,False,0.05100328984322094,-1.1386480367556342,0.041546930028909704,109
172,2.5635118295900012,rbf,auto,9,balanced,True,True,0.02777042376012664,-1.1386553450696262,0.03975577882994559,110
82,2.8850977286019255,rbf,auto,7,balanced,True,True,0.06438440103125553,-1.1386755029248676,0.04256885607269296,111
78,2.6771106794070487,rbf,auto,12,balanced,True,False,0.19178571540051748,-1.1387162489294316,0.040993800659325674,112
70,2.518075363615521,rbf,auto,14,balanced,True,True,0.036764541844265766,-1.1387197011233614,0.04086436798957542,113
197,2.8450826278223866,rbf,auto,10,balanced,True,True,0.007360936297033027,-1.1387266852020357,0.04143897459767521,114
166,3.4109271844938425,rbf,auto,13,balanced,True,False,0.19095998265838482,-1.1387344209087105,0.041896707955114944,115
144,2.6466048216920255,rbf,auto,13,balanced,True,True,0.04764561448490556,-1.1387362726327548,0.04191886472253771,116
23,3.272244769296657,rbf,auto,12,balanced,True,False,0.00210442342472048,-1.1387446824067986,0.042272900378558714,117
234,2.9118409141472688,rbf,auto,14,balanced,True,True,0.1869058288495652,-1.1387447371261972,0.039968076396907096,118
244,3.0027203900924793,rbf,auto,9,balanced,True,True,0.18091491465491372,-1.1387480920902893,0.04116040788669111,119
87,3.197015740995268,rbf,auto,11,balanced,True,False,0.07289823024395103,-1.13875147809792,0.04220571269137582,120
98,3.3420230750119813,rbf,auto,4,balanced,True,False,0.10912702432202132,-1.1387586305343849,0.04118294106462729,121
164,3.1981617140197454,rbf,auto,1,balanced,True,True,0.06290552325726555,-1.1387747078620125,0.04094507887439463,122
22,3.3021969807540397,rbf,auto,1,balanced,True,True,0.19837738732010346,-1.1388016400962844,0.04034788871952817,123
149,2.8302525290190985,rbf,auto,14,balanced,True,True,0.05173643477462775,-1.138808776320536,0.04222065039384873,124
178,3.378220667479192,rbf,auto,8,balanced,True,False,0.010379293558243984,-1.1388089937078383,0.04189824067498359,125
33,3.3957635956735195,rbf,auto,1,balanced,True,False,0.11365511439527674,-1.1388127874510128,0.041394010315284634,126
248,3.294025189270296,rbf,auto,13,balanced,True,True,0.10769221839526431,-1.1388220190875642,0.04235914193870121,127
42,2.506952130531191,rbf,auto,8,balanced,True,True,0.08448220062975581,-1.1388394916713913,0.04170940310678499,128
81,3.4636199770892526,rbf,auto,1,balanced,True,False,0.05988977841391714,-1.1388507506448424,0.041955722240661526,129
174,3.034346275029463,rbf,auto,5,balanced,True,False,0.1836331504515286,-1.1388641595296913,0.04313590313120324,130
191,3.1208056844220913,rbf,auto,2,balanced,True,True,0.04282615821570284,-1.138878963366431,0.04200319672056491,131
104,2.656437042671086,rbf,auto,2,balanced,True,False,0.1108453329412241,-1.1388840756433436,0.04199444254273833,132
29,3.0612434258477013,rbf,auto,3,balanced,True,True,0.19534241907782077,-1.138885189846537,0.04185290564083034,133
226,2.705077560149459,rbf,auto,10,balanced,True,False,0.14319049576734966,-1.1389099783558463,0.04073349990144763,134
179,2.7686724820253072,rbf,auto,7,balanced,True,False,0.1006330373291786,-1.1389518641767595,0.0436839325474439,135
211,2.8274973521779145,rbf,auto,12,balanced,True,True,0.17910545614797901,-1.1389781801919623,0.040488352056965944,136
63,3.38263634318934,rbf,auto,7,balanced,True,True,0.05677427051843638,-1.1389994424269752,0.04080738432354121,137
54,3.298345124984551,rbf,auto,9,balanced,True,False,0.10263975534814374,-1.1390070974103184,0.04205248465389108,138
117,3.1364035974460114,rbf,auto,4,balanced,True,False,0.13643366847659635,-1.1390079957996566,0.04138981368603453,139
108,2.855972678651262,rbf,auto,5,balanced,True,False,0.0038786977259511737,-1.1390085231084526,0.0413424212801081,140
94,3.481840888310531,rbf,auto,6,balanced,True,False,0.17308092366233507,-1.1390146060987898,0.03997499513418657,141
161,3.1201325978015366,rbf,auto,8,balanced,True,False,0.038624231944752264,-1.1390151069441719,0.0429648344240045,142
153,2.785712086281861,rbf,auto,8,balanced,True,True,0.045719167703890534,-1.1390181027663235,0.04247060386931005,143
48,3.109564333979897,rbf,auto,2,balanced,True,False,0.01129575024999787,-1.1390243500247874,0.042330251244766144,144
237,2.5664962673667775,rbf,auto,8,balanced,True,False,0.11589462263598238,-1.1390251835254879,0.04180872866325302,145
170,3.485286050665504,rbf,auto,11,balanced,True,True,0.15091565999521442,-1.139029406713147,0.04118966103494975,146
229,3.006103956359347,rbf,auto,4,balanced,True,True,0.10751788651031718,-1.1390482187168538,0.04268777058571878,147
156,3.4929647961193004,rbf,auto,5,balanced,True,False,0.11177085688026417,-1.1390654820680826,0.040370204277080934,148
74,2.8930977246667604,rbf,auto,6,balanced,True,False,0.12722772519945258,-1.1390677091361505,0.042046178609695326,149
143,2.7225764175710303,rbf,auto,9,balanced,True,False,0.17937938175535534,-1.1390780724735983,0.04137890767549176,150
73,2.7652023676817254,rbf,auto,14,balanced,True,False,0.19560211095048913,-1.1391087453359579,0.041192528567719794,151
139,3.4742482085344104,rbf,auto,14,balanced,True,True,0.012174230935470008,-1.1391380722147253,0.041553507390472574,152
24,3.3154614284548343,rbf,auto,1,balanced,True,False,0.14680143360819747,-1.139143745211424,0.04138907863400997,153
180,2.976210696789014,rbf,auto,3,balanced,True,True,0.06255544795420989,-1.1391439512931885,0.041896046614347045,154
75,3.2948113035416484,rbf,auto,14,balanced,True,True,0.11638077692527182,-1.139150583647665,0.042360015885292056,155
