Feature,Importance
Origin_AGP,0.0
Origin_ALC,0.0
Origin_AMS,0.0
Origin_ATH,0.0
Origin_Aberdeen,0.0
Origin_Alicante,0.0
Origin_Amman,0.0
Origin_Amsterdam,0.0
Origin_Ancona,0.0
Origin_Ancona Falconara,0.0
Origin_Arrecife,0.0
Origin_Athens,0.0
Origin_BCN,0.0
Origin_BFS,0.0
Origin_BGY,0.0
Origin_BHX,0.0
Origin_BLL,0.0
Origin_BLQ,0.0
Origin_BOH,0.0
Origin_BRE,0.0
Origin_BRS,0.0
Origin_Brussel,0.0
Origin_Brussels,0.0
Origin_Brussels Charleroi,0.0
Origin_Bruxelles,0.0
Origin_Düsseldorf,0.0
Origin_EDI,0.0
Origin_EGC,0.0
Origin_EMA,0.0
Origin_East Midlands,0.0
Origin_Edinbrough,0.0
Origin_Edinburgh,0.0
Origin_Eindhoven,0.0
Origin_Essaouira,0.0
Origin_Exeter,0.0
Origin_FAO,0.0
Origin_FCO,0.0
Origin_FEZ,0.0
Origin_FMM,0.0
Origin_FUE,0.0
Origin_Faro,0.0
Origin_Fes,0.0
Origin_Frankfurt,0.0
Origin_Frankfurt Hahn,0.0
Origin_Frankfurt Hanh,0.0
Origin_Frankfurt-Hahn,0.0
Origin_Fuerteventura,0.0
Origin_GLA,0.0
Origin_GRO,0.0
Origin_Gatwick,0.0
Origin_Dusseldorf,0.0
Origin_Dubrovnik,0.0
Origin_Dortmund,0.0
Origin_Catania,0.0
Origin_Bucharest,0.0
Origin_Bucharest Otopeni,0.0
Origin_Budapest,0.0
Origin_Burgas,0.0
Origin_CGN,0.0
Origin_CIA,0.0
Origin_CPH,0.0
Origin_CRK,0.0
Origin_CRL,0.0
Origin_Carcassonne,0.0
Origin_Cardiff,0.0
Origin_Chania,0.0
Origin_Dinard,0.0
Origin_Charleroi,0.0
Origin_Ciampino Rome,0.0
Origin_Cluj Napoca,0.0
Origin_Cologne,0.0
Origin_Cologne Bonn,0.0
Origin_Cologne-Bonn,0.0
Origin_Copenhagen,0.0
Origin_Corfu,0.0
Origin_Cork,0.0
Origin_Crete (Chania),0.0
Origin_DUB,0.0
Seat Type_Economy Class,0.0
Seat Type_Business Class,0.0
Aircraft_FR8852,0.0
Passenger Country_Slovenia,0.0
Passenger Country_Italy,0.0
Passenger Country_Japan,0.0
Passenger Country_Jordan,0.0
Passenger Country_Kuwait,0.0
Passenger Country_Laos,0.0
Passenger Country_Latvia,0.0
Passenger Country_Lebanon,0.0
Passenger Country_Lithuania,0.0
Passenger Country_Luxembourg,0.0
Passenger Country_Macedonia,0.0
Passenger Country_Malaysia,0.0
Passenger Country_Malta,0.0
Passenger Country_Mexico,0.0
Passenger Country_Morocco,0.0
Passenger Country_New Zealand,0.0
Passenger Country_Norway,0.0
Passenger Country_Pakistan,0.0
Passenger Country_Philippines,0.0
Passenger Country_Poland,0.0
Passenger Country_Portugal,0.0
Passenger Country_Qatar,0.0
Passenger Country_Romania,0.0
Passenger Country_Russian Federation,0.0
Passenger Country_Serbia,0.0
Passenger Country_Singapore,0.0
Passenger Country_Israel,0.0
Passenger Country_Iraq,0.0
Passenger Country_Indonesia,0.0
Passenger Country_Croatia,0.0
Passenger Country_Australia,0.0
Passenger Country_Austria,0.0
Passenger Country_Belarus,0.0
Passenger Country_Belgium,0.0
Passenger Country_Brazil,0.0
Passenger Country_Brunei,0.0
Passenger Country_Bulgaria,0.0
Passenger Country_Canada,0.0
Passenger Country_Chile,0.0
Passenger Country_China,0.0
Passenger Country_Costa Rica,0.0
Passenger Country_Cyprus,0.0
Passenger Country_India,0.0
Passenger Country_Czech Republic,0.0
Passenger Country_Denmark,0.0
Passenger Country_Egypt,0.0
Passenger Country_Estonia,0.0
Passenger Country_Finland,0.0
Passenger Country_France,0.0
Passenger Country_Gibraltar,0.0
