,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
3,4.9667417222278045,rbf,auto,8,0.0035413628889802277,-0.8060536007470767,0.04881143310381297,139
67,4.903317565785572,rbf,auto,3,0.004048505230698577,-0.8060536274162032,0.04880857439725685,140
53,4.964640586404151,rbf,auto,24,0.0035160947944758896,-0.8060537784643698,0.04881004357612413,141
354,5.016608312193939,rbf,auto,28,0.0035207306756925476,-0.8060541164965371,0.04880257657020145,142
455,5.06398938348162,rbf,auto,21,0.003718541281458039,-0.8060544701954522,0.04877220130836447,143
89,5.081219757543711,rbf,auto,27,0.003975056517708242,-0.8060549179585529,0.048757583547446144,144
231,5.028174948960643,rbf,auto,8,0.003483507331135395,-0.8060554419071279,0.0487932143092262,145
286,5.06502653533856,rbf,auto,5,0.004073873601156911,-0.8060557318665511,0.04876336601809288,146
199,4.983327811547696,rbf,auto,5,0.0030680759796789495,-0.8060562654663915,0.04881653850422413,147
104,5.039403148199054,rbf,auto,11,0.003545554984550593,-0.8060565190082437,0.04879204276501386,148
497,5.0443775255853875,rbf,auto,11,0.0034759094306327128,-0.8060566290794589,0.048785995765199215,149
180,4.923505249355421,rbf,auto,9,0.00372205828471649,-0.8060567170632684,0.0488092521518139,150
386,4.99909826324124,rbf,auto,11,0.0029924302913407735,-0.8060568093805941,0.04881505119690108,151
295,5.025541610614284,rbf,auto,8,0.0034695880370166922,-0.806056871574107,0.04880318876399197,152
447,5.014263788383915,rbf,auto,8,0.003391080762795318,-0.8060571329062188,0.04879555050479546,153
449,5.004252062436083,rbf,auto,16,0.003293259173292128,-0.8060573650303662,0.048794548005012546,154
257,4.9726164592797275,rbf,auto,26,0.0030387761114678644,-0.8060574394270107,0.04880378668970173,155
403,4.963820094648652,rbf,auto,10,0.003223733253129111,-0.8060574653897449,0.04881551889158526,156
25,4.9713506653387185,rbf,auto,28,0.0030361712384334234,-0.8060577293864897,0.048807725911260626,157
90,5.000527418621039,rbf,auto,28,0.0033456202983154983,-0.806057839162257,0.04880410627818807,158
