,param_alpha,param_fit_prior,mean_test_score,std_test_score,rank_test_score
338,2.3954741738290872,True,-1.3909011711210733,0.16283849954062327,212
1203,2.3953236102191497,True,-1.3909011711212764,0.16284040393184743,213
1025,2.3954742142166574,True,-1.3909011711213422,0.16283849902981629,214
135,2.395323202932021,True,-1.3909011711223074,0.16284040908346137,215
1405,2.39547463087575,True,-1.3909011711223875,0.16283849375992435,216
307,2.3953229564729415,True,-1.3909011711231014,0.16284041220082782,217
706,2.395322353844975,True,-1.3909011711247063,0.16284041982328357,218
641,2.395322079165583,True,-1.390901171125454,0.16284042329763648,219
969,2.3954760504021992,True,-1.3909011711263715,0.16283847580547625,220
166,2.3953207800649716,True,-1.3909011711293315,0.16284043972950754,221
404,2.3953200496010307,True,-1.3909011711314752,0.16284044896890398,222
410,2.3953193136375903,True,-1.3909011711337118,0.16284045827788549,223
1028,2.3953191004732433,True,-1.3909011711342065,0.1628404609741384,224
375,2.395318975630294,True,-1.3909011711346397,0.16284046255317938,225
