,param_alpha_1,param_alpha_2,param_lambda_1,param_lambda_2,param_tol,mean_test_score,std_test_score,rank_test_score
2857,13.786777444001656,1.3941559293792232,34.39405987662652,7.778122434439173,0.0001326149791158394,-0.7422201124808085,0.05521961454054975,1053
2362,19.30971414015868,18.817271957893947,7.757113811227218,1.6167243555371151,0.0001302675432579735,-0.7422201384529756,0.05525000142004034,1054
1595,3.074987242058362,18.434534389033228,30.29876302892412,7.3170537272315155,0.0003645903518972024,-0.7422202580607091,0.05522102556254352,1055
3867,19.420583624901994,10.197554095208131,25.54842427051498,5.763089198890566,0.0002521302147233064,-0.7422202961797175,0.055224351125969906,1056
11,18.437485700462336,1.7698510410383899,7.839315496765808,0.45227388910538063,0.00017266516538163218,-0.7422204172777929,0.05534707786060744,1057
1917,16.08405914595562,3.613099041823406,16.26271331621964,3.5562209925756556,0.0004055020370327037,-0.7422204694522869,0.055232705629010906,1058
2092,10.101157005408174,10.505010296609763,38.96124999888255,9.114541034548392,9.0856389165054e-05,-0.7422205050059569,0.05521716885367282,1059
670,4.298253740727917,8.497017857361739,36.31354155534136,5.070597467387183,0.00010396019040766152,-0.7422205272625988,0.055362526196250955,1060
2864,2.9667846143942618,0.44266651116236116,25.13345561194615,5.823706631583486,0.0005034518332176278,-0.74222055953376,0.05522333472115427,1061
112,14.08159636198447,4.259284230178214,5.454860023470791,0.1454476566788193,0.0001852937794032985,-0.7422205927780131,0.055342978360430894,1062
1666,14.887365086079813,12.388902476363064,32.12302669350979,4.31805200785912,0.00040290424212217506,-0.74222061086489,0.055361239292966685,1063
4537,18.028874716984934,9.09007301965204,7.882542361772648,1.5986875523711779,0.0002464918833260669,-0.7422206334880117,0.05524801733705285,1064
227,1.5226181898060036,17.024139280975376,19.805862080558974,4.80586677326648,0.0003062038923297588,-0.742220727589366,0.055226976901384894,1065
4863,6.995913615888558,12.923744680297629,4.640741451165582,0.9263646868780601,0.00034000649710423024,-0.7422207325994192,0.05526025022614884,1066
1422,14.40666838331986,18.365701707599158,16.321619464112665,1.9127747103739705,0.0002685589654284598,-0.7422207437482037,0.055354879126000955,1067
4550,15.42402158073267,18.32930712465079,33.991268949609214,7.977040302997685,0.0005033949727850415,-0.7422207562072354,0.05521901802107742,1068
318,13.848724026487393,19.825120874043765,5.135772578165009,1.0410974938416633,0.0003721694085643706,-0.7422207689642627,0.05525841941946007,1069
1667,9.249137341302959,18.819316756855876,19.454885033005905,4.626193719337295,0.0004025359307817564,-0.7422208619151722,0.055227578580434936,1070
1826,4.892326481045321,14.922620564772844,20.83262444576329,2.685572406206411,0.0003983034198981953,-0.7422208749868058,0.05535767814399556,1071
102,12.268304918715797,8.364861725812377,37.30914033416053,8.660639895004083,3.2609335053094704e-05,-0.7422208766138324,0.05521724196994486,1072
4301,5.246237840919519,17.694426455112428,27.659168289663167,6.6618343285059005,0.0001926597815824217,-0.7422209158673346,0.05522144247313238,1073
4173,1.7915277458885808,17.612377643233806,35.867440580234835,8.717391879121646,0.0002654884578127782,-0.7422209198523007,0.0552174659355166,1074
871,12.101791370810767,4.409753788294985,25.026032577091062,5.716077494829439,0.00010241919897351247,-0.7422209548440599,0.05522322684351275,1075
1301,16.152518391259502,15.429467897192128,36.60555381619584,8.545155359107495,0.0003515877816199091,-0.7422210011545383,0.05521754944207856,1076
3118,13.135881092600636,12.204980565796097,28.33435844154645,6.603865402713439,6.714734057119176e-05,-0.7422211533806462,0.05522099815047228,1077
1614,8.71178416025418,8.2969380060319,29.308937616532262,6.858763750864647,0.000426635641017924,-0.7422211759041737,0.0552202104327337,1078
3414,7.079912390893335,11.087281816568195,24.61622809711083,3.215840403624651,0.0002951240624736998,-0.7422212369845251,0.055359585385783096,1079
2361,2.2957265732122485,14.519376586566944,2.069820186764046,0.30192115337188624,6.266694712248215e-05,-0.7422212536295562,0.05527584542044397,1080
4638,14.754415723363786,3.1541538942390264,10.866053781967754,2.3200630128180717,0.00020952560933557707,-0.7422212585855785,0.055239567757821496,1081
2408,12.470157199124442,7.154336298848551,33.77622549168263,4.532998386465429,0.0003732206790537084,-0.7422212826268473,0.05536246324637859,1082
2165,10.124621721817602,0.5126459976884518,36.98990003457446,8.518369088189331,0.0002721289639519178,-0.7422213349718481,0.05521645836963195,1083
4543,1.5979890190378703,4.902382143446871,10.202379098778996,0.9488927523925111,0.00020423167058672024,-0.742221347278686,0.05535150723889018,1084
2916,9.638886587854415,0.8494192097682268,18.50136041513202,4.189409420801276,0.00039966813265974354,-0.7422213501588597,0.055227695224702646,1085
